id;titre;adrs_numvoie;adrs_typevoie;adrs_libvoie;adrs_codepostal;adrs_libcommune;adrg_libvoie;address_processed;adrg_pays;siteweb
W012007587;MEXIMIEUX AU SON DE L'ORGUE;;;;1800;Meximieux;;  ;FRANCE;
W012007588;AIN DEPENDANCE DEUCH;;;;1800;Villieu-Loyes-Mollon;;  ;FRANCE;
W012007589;DELPHAXE MONTAGNE;;;;1800;Saint-Maurice-de-Gourdans;;  ;FRANCE;
W012007590;P'TIT DEJ;;;;1340;Foissiat;;  ;FRANCE;
W012007591;ECOLE DE JUDO MONTMERLE 3 RIVIERES;;;parc Visiosport 3 Rivières,;1090;Montceaux;parc Visiosport 3 Rivières,;parc Visiosport 3 Rivières,;FRANCE;
W012007592;POUR TOUNET;;;;1290;Crottet;;  ;FRANCE;
W012007593;AVAHAN, LES ENFANTS DE GANESH;;;;1190;Pont-de-Vaux;;  ;FRANCE;
W012007594;TEAM CARPODROME AVENIR PECHE 01;;LD;Cuet;1340;Montrevel-en-Bresse;437 AVENUE DE TREVOUX;437 AVENUE DE TREVOUX;FRANCE;
W012007595;LES QUILTEUSES DE L'AIN;;;;1120;La    Boisse;;  ;FRANCE;
W012007596;COMITE DE GESTION DU MATERIEL;;;;1390;Saint-André-de-Corcy;Place de la Mairie;Place de la Mairie;FRANCE;
W012007597;COMITE STEPHANOIS DE FLEURISSEMENT;;;;1140;Saint-Étienne-sur-Chalaronne;;  ;FRANCE;
W012007598;ASSOCIATION BURGIENNE DU CENTRE DE FORMATION DE L'UNION SPORTIVE BRESSANE;;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007599;ASSOCIATION SPORTIVE DE LA POLICE DE BOURG - A.S.P.B.;;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007600;YADLA;;;;1800;Joyeux;ALLEE DU MIROIR;ALLEE DU MIROIR;FRANCE;
W012007601;ASSOCIATION DES OCCUPANTS DE LA ZONE D'ACTIVITE DES ARBELLES (O.Z.A.A.);;;329, rue léopold le hon;1000;Bourg-en-Bresse;329, rue léopold le hon;329, rue léopold le hon;FRANCE;
W012007602;ATELIER BLEU MANDARINE;;;;1340;Montrevel-en-Bresse;;  ;FRANCE;
W012007603;TON'AIR EN BRESSE;;LD;Château Giroud;1560;Saint-Jean-sur-Reyssouze;Château Giroud;Château Giroud;FRANCE;
W012007604;GO RALLYE MANZIAT (GRM);33;RUE;Vieille;1570;Manziat;33  rue Vieille;33  rue Vieille;FRANCE;
W012007605;AINREZO;4;ALL;des Pinsons;1240;Certines;4  allée des Pinsons;4  allée des Pinsons;FRANCE;www.ainrezo.com
W012007606;CABINET INFIRMIER DE SAINT TRIVIER DE COURTES;200;RTE;de Chalon;1560;Saint-Trivier-de-Courtes;200  route de Chalon;200  route de Chalon;FRANCE;
W012007607;BRESSE NATURE ET JARDINS;;PL;de la Résistance;1340;Montrevel-en-Bresse;619 CHEMIN DES LAZARISTES;619 CHEMIN DES LAZARISTES;FRANCE;
W012007608;BIKE SINGLES BUGEY (BSB);132;RUE;des Croix;1320;Châtillon-la-Palud;132  rue des Croix;132  rue des Croix;FRANCE;
W012007609;ETOILE BOULISTE DE MEILLONNAS;;;;1370;Meillonnas;;  ;FRANCE;
W012007610;AMICALE DES ANCIENS COMBATTANTS DE RIGNAT;;;;1250;Bohas-Meyriat-Rignat;;  ;FRANCE;
W012007611;ASSOCIATION SPORTIVE DU GOLF DE LA BRESSE;;;;1400;Condeissiat;;  ;FRANCE;
W012007612;ASSOCIATION SPORTIVE DE L'ORGANISATION DES COMPETITIONS DU GOLF DE LA BRESSE;;;;1400;Condeissiat;;  ;FRANCE;
W012007613;LES CRINIERES DU SUD;;;;1380;Saint-Genis-sur-Menthon;;  ;FRANCE;
W012007614;BLUESTUFF PRODUCTIONS;;;4, chemin de la rivière;1800;Saint-Maurice-de-Gourdans;4, chemin de la rivière;4, chemin de la rivière;FRANCE;
W012007615;ASSOCIATION AUTOCHROME LUMIERE;;;;1240;Saint-Paul-de-Varax;;  ;FRANCE;
W012007616;LA CLASSE EN 3 DES CONSCRITS DE REPLONGES;;;;1750;Replonges;;  ;FRANCE;
W012007617;CROCK'NOTES;;;;1290;Saint-André-d'Huiriat;7 LOTISSEMENT CHAPONOD;7 LOTISSEMENT CHAPONOD;FRANCE;https://crocknotes.fr
W012007618;MOBILISATION AUTO DES RETRAITES FRANCAIS DE FRANCE (M.A.RE.F.F.);;;;1390;Mionnay;;  ;FRANCE;
W012007619;MOTOQUAD AVENTURE;;;;1190;Chavannes-sur-Reyssouze;;  ;FRANCE;
W012007620;LES AMIS DU MONDE DIPLOMATIQUE ET D'ALTERNATIVES ECONOMIQUES, SAONE RIVE GAUCHE - A.M.D.A.E., SAONE RIVE GAUCHE;;;;1290;Grièges;;  ;FRANCE;
W012007621;LUGDUNUM PROMOTION;;;;1310;Montracol;;  ;FRANCE;
W012007622;GROUPE DE RECHERCHES SUR L'IMMUNODEPRESSION ET LES PATHOLOGIES EMERGENTES (G.R.I.P.E.);;;;1330;Ambérieux-en-Dombes;;  ;FRANCE;
W012007623;LES AMIS DE NOTRE DAME DE FATIMA;;;;1480;Jassans-Riottier;;  ;FRANCE;
W012007624;AMICALE CLASSE 57 VIRIAT;;;;1440;Viriat;;  ;FRANCE;
W012007625;KT 'TERRE';;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007626;TEM'BO;;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007627;CHICKEN'SPIRIT;;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007628;GROUPEMENT D'EMPLOYEURS DE BEREYZIAT;;;;1340;Béréziat;;  ;FRANCE;
W012007629;SPORT CO. LOISIRS;;;;1270;Coligny;;  ;FRANCE;
W012007630;ASSOCIATION DES CONSCRITS DE CONFRANCON;;;;1310;Confrançon;;  ;FRANCE;
W012007631;RANDONNEES CYCLOTOURISTES DU DIABETE;571 C;RTE;de Revonnas;1250;Ceyzériat;571 C  ROUTE DE REVONNAS;571 C  ROUTE DE REVONNAS;FRANCE;
W012007632;BREAK DANCE ASSOCIATION;;;;1120;Niévroz;;  ;FRANCE;
W012007633;ATELIER DU 'JE' - ATELIER D'EXPRESSION ET DE DEVELOPPEMENT PERSONNEL;;;;1380;Bâgé-le-Châtel;;  ;FRANCE;
W012007634;LES JOSETTES BLEUES;;;;1800;Meximieux;;  ;FRANCE;
W012007635;ASSOCIATION DES AGRICULTEURS DE VIRIAT;;;;1440;Viriat;;  ;FRANCE;
W012007636;AMICALE CLASSE DE L'AN 3 DE SAINT ETIENNE DU BOIS;;;;1370;Saint-Étienne-du-Bois;;  ;FRANCE;
W012007637;STAR SONO;;;;1390;Saint-Marcel;;  ;FRANCE;
W012007638;MISSION DU PACIFIQUE;;;;1140;Garnerans;;  ;FRANCE;
W012007639;BIG BROTHER;;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007640;SUR LA ROUTE;501;CHEM1;du Haut Mizériat;1140;Saint-Didier-sur-Chalaronne;501  chemin du Haut Mizériat;501  chemin du Haut Mizériat;FRANCE;www.sur-la-route-4ltrophy.blogsport.com
W012007641;WIL'TEAM CROSS;;;;1250;Montagnat;;  ;FRANCE;
W012007642;ASSOCIATION DE LA CLASSE 03;;;;1440;Viriat;;  ;FRANCE;
