local_id;name;country;state;city;zip;street;url;industry
W011001214;SEMI-MARATHON DE SAINT-VULBAS;FRANCE;;Saint-Vulbas;1150;  ;;
W011001215;MISSION LOCALE JEUNES, BUGEY-PLAINE DE L'AIN;FRANCE;;Ambérieu-en-Bugey;1500;13 AVENUE ROGER SALENDRO;;
W011001216;LET'S GO MUSIC;FRANCE;;Hauteville-Lompnes;1110;517  avenue Félix Mangini;;
W011001217;AMICALE DE CHASSE DU GRAND COLOMBIER;FRANCE;;Virieu-le-Petit;1260;  ;;
W011001218;ENTENTE SPORTIVE AMBRONAY ST JEAN LE VIEUX;FRANCE;;Ambronay;1500;  ;;
W011001219;AMICALE DES SAPEURS POMPIERS D'HAUTEVILLE LOMPNES;FRANCE;;Hauteville-Lompnes;1110;170 AVENUE DE BOURG;;
W011001220;VOIR W011000162 OGEC DES ETABLISSEMENTS CATHOLIQUES DE BELLEY;FRANCE;;Belley;1300;509 rue de sur Chêne;;
W011001221;MAYA;FRANCE;;Lagnieu;1150;7 bis  rue recteur Perroud;;
W011001222;SDN - BUGEY (SORTIR DU NUCLEAIRE BUGEY);FRANCE;;Loyettes;1360;76  IMPASSE MOZART;;
W011001223;ALMC (ASSOCIATION LEYMENT MOTO CROSS);FRANCE;;Leyment;1150;70  rue de la Mairie;;
W011001224;MICRORIGINES MUSEE DE L'INFORMATIQUE ET DES CONSOLES REUNIS D'ORIGINES;FRANCE;;Nattages;1300;  ;;
W011001225;ASSOCIATION 'L'ELAN DE LA ROCHETTE';FRANCE;;Arbignieu;1300;  ;;
W011001226;ASSOCIATION FRANCO-ALLEMANDE DES ANCIENS PARTICIPANTS DES STAGES DE LYON ET DE DÜSSELDORF;FRANCE;;Mont-Saint-Aignan;76130;12  PARC DE LA TOUQUES;;
W011001227;AMB CREW - GLISSE URBAINE;FRANCE;;Château-Gaillard;1500;17 A  RUE DE LA CROIX;;
W011001228;ASSOCIATION SPORTIVE PETANQUE CHANAY - A.S.P.C;FRANCE;;Chanay;1420;LA TERRASSE;;
W011001229;DISTANCES;FRANCE;;Saint-Martin-de-Bavel;1510;  ;;
W011001230;UNION SPORTIVE DE VAUX-EN-BUGEY (USVB);FRANCE;;Vaux-en-Bugey;1150;  ;;
W011001231;ASSOCIATION MUSICALE LOYETTES;FRANCE;;Loyettes;1360;  ;;
W011001232;GRIOTTE ET MANDARINE;FRANCE;;Villeurbanne;69100;2 RUE CLÉMENT MICHUT;;
W011001233;COMITE D'ANIMATION DE LA COMMUNE DE MARCHAMP;FRANCE;;Marchamp;1680;  ;;
W011001234;CLUB DE L'AMITIE;FRANCE;;Marignieu;1300;  ;;
W011001235;LES MAINS CREATIVES DE MASSIGNIEU DE RIVES;FRANCE;;Massignieu-de-Rives;1300;77  route du pont de Lucey;;
W011001236;COMITE DE FLEURISSEMENT D'HAUTEVILLE-LOMPNES;FRANCE;;Hauteville-Lompnes;1110;545 RUE JOSEPH DIALLAZ;;
W011001237;THEATRE ET ECRITURE;FRANCE;;Ambérieu-en-Bugey;1500;rue Alexandre Bérard;;
W011001238;SOU DES ECOLES LAÎQUES;FRANCE;;Loyettes;1360;30 RUE DU CARILLON;;
W011001239;COOPERATIVE SCOLAIRE : ECOLE DES CHARMETTES;FRANCE;;Lagnieu;1150;rue de la Charmette;;
W011001240;ASSOCIATION DES PROPRIETAIRES MECONTENTS DES MOBIL HOMES DU CAMPING LE CLOS DE LA GRANGETTE - ASPROMEC;FRANCE;;Ambérieu-en-Bugey;1500;58  rue Alexandre Bérard;;
W011001241;SOCIETE DE CHASSE COMMUNALE DE CHALEY;FRANCE;;Chaley;1230;  ;;
W011001242;AMICALE DES ROUTIERS DE BELLEY;FRANCE;;Pugieu;1510;42 montée du vignoble;;
W011001243;JEUDI D'HIVER;FRANCE;;Vaux-en-Bugey;1150;330 rue Principale;;
W011001244;MARPA LE JARDIN DES COURTANES;FRANCE;;Serrières-de-Briord;1470;41 RUE DU CENTRE;;
W011001245;AMICALE CHASSE DE LAVOURS;FRANCE;;Lavours;1350;  ;;
W011001246;LAGNIEU KARATE CLUB;FRANCE;;Lagnieu;1150;  ;;
W011001247;S.M.D. SPORTS;FRANCE;;Ambérieu-en-Bugey;1500;4 hameau du Veyron;;
W011001248;CLASSES DES CONSCRITS 2014;FRANCE;;Culoz;1350;110 rue de Lorette;;
W011001249;AMICALE DES SAPEURS POMPIERS DE MAGNIEU;FRANCE;;Magnieu;1300;route de la Plantaz;;
W011001250;AMICALE DES DONNEURS DE SANG BENEVOLES DE LAGNIEU ET SES ENVIRONS;FRANCE;;Lagnieu;1150;  ;;
W011001251;SOU DES ECOLES D'ARBOYS EN BUGEY;FRANCE;;Arbignieu;1300;  ;;
W011001252;AINSOL'HIT;FRANCE;;Vaux-en-Bugey;1150;GRANDE RUE;;
W011001253;AMICALE DES JEUNES DE CHAZEY-SUR-AIN;FRANCE;;Chazey-sur-Ain;1150;  ;;
W011001254;TENNIS CLUB DE LA PLAINE DE L'AIN;FRANCE;;Saint-Vulbas;1150;  ;;
W011001255;AMNESTY INTERNATIONALE - GROUPE N° 169 DE BELLEY;FRANCE;;Belley;1300;  ;;
W011001256;MOTS PASSANT;FRANCE;;Belmont-Luthézieu;1260;CHEMIN DU COLOMBIER;;
W011001257;AMICALE DES PERSONNELS DU LYCEE DE BELLEY;FRANCE;;Belley;1300;276 rue des Lilas;;
W011001258;CHORALE CHANTELOUVE;FRANCE;;Belley;1300;  ;;
W011001259;BELLEY SPORT AUTOMOBILE ( B.S.A.);FRANCE;;Saint-Germain-les-Paroisses;1300;  ;;
W011001260;PAR MONTS ET PAR VAUX;FRANCE;;Arbignieu;1300;372  route du Vernay;;
W011001261;LE TEMPS DES ARTS;FRANCE;;Cleyzieu;1230;  ;;
W011001262;DSHO : LA DEESSE A CHAUD;FRANCE;;Lagnieu;1150;47  route de Posafol;;
W011001263;LE LIEN COLOMIARD;FRANCE;;Colomieu;1300;127 RUE DE LA MAIRIE;;
W011001264;LES VOIES DE LA LIBERTE;FRANCE;;Aranc;1110;  ;;
W011001265;ASSOCIATION DE CHAILLIOUX;FRANCE;;Contrevoz;1300;  ;;
W011001266;ASSOCIATION ' VIVRE EN BETHANIE ';FRANCE;;Izieu;1300;  ;;
W011001267;BUENA ONDA;FRANCE;;Loyettes;1360;40 bis  rue du Carillon;;
W011001268;1000 EVENTS PRODUCTION;FRANCE;;Briord;1470;71  rue de la Croix;;
W011001269;AMICALE DU SOUVENIR DES RESISTANTS DE L'ARMEE SECRETE DE BRENS;FRANCE;;Brens;1300;104 chemin de la Rodette;;
W011001270;CHORALE DU CANTON DE LHUIS;FRANCE;;Lhuis;1680;  ;;
W011001271;PEYRIEU TENNIS-CLUB;FRANCE;;Peyrieu;1300;  ;;
W011001272;TENNIS CLUB DE BELLEY;FRANCE;;Belley;1300;avenue Lucien Tendret;;
W011001273;AMICALE DES PERSONNELS DU COLLEGE SABINE ZLATIN;FRANCE;;Belley;1300;84.A  RUE GUILLAUME GIANINETTO;;
W011001274;BOULE JOYEUSE CORMARANCHOISE;FRANCE;;Cormaranche-en-Bugey;1110;  ;;
W011001275;TEG FECC - COMPAGNIE DOUDOU N DIAYE ROSE JUNIOR;FRANCE;;Belley;1300;3  RUE DE L'AMITIé;;
W011001276;COMPAGNIE DU CHAT PERCHE;FRANCE;;Ambérieu-en-Bugey;1500;59  rue Jules Pellaudin;;
W011001277;AMBIANCE EVASION;FRANCE;;Argis;1230;100   GRANDE RUE;;
W011001278;AMUZ ET VOUS;FRANCE;;Saint-Vulbas;1150;9 impasse des Frênes;;
W011001279;LOYETTES KARATE CLUB;FRANCE;;Loyettes;1360;8 rue Emile Guichard;;
W011001280;CREATIVE MUSIC;FRANCE;;Dullin;73610;  Le tilleray;;
W011001281;EVASION & DECOUVERTE;FRANCE;;Leyment;1150;227 RUE DE VALLIÈRE;;
W011001282;L'EVEIL DU VALROMEY;FRANCE;;Champagne-en-Valromey;1260;rue du Boule;;
W011001283;ASSOCIATION DES JEUNES SAPEURS-POMPIERS D'AMBERIEU-EN-BUGEY;FRANCE;;Ambérieu-en-Bugey;1500;199 BIS RUE DE VAREILLES;;
W011001284;WESTERN MUSIC - CHEVAL PLAISIR;FRANCE;;Thézillieu;1110;  ;;
W011001285;ENDUROC CORMA;FRANCE;;Cormaranche-en-Bugey;1110;19 route du Marais;;
W011001286;GANG DES FLINGUES EN L'AIR;FRANCE;;Ambérieu-en-Bugey;1500;6  rue Aristide Briand;;
W011001287;LES ORPHELINS D'HAÏTI - OEUVRE DU PERE DEHOUX LIONEL;FRANCE;;Chazey-Bons;1300;83  place de l'Eglise;;
W011001288;RICHEMOND QUAD;FRANCE;;Chanay;1420;2 rue de la vie vieille;;
W011001289;AMICALE DES CLASSES 59-60-61;FRANCE;;Anglefort;1350;17 rue de la Bonnette;;
W011001290;AMICALE DES DONNEURS DE SANG BENEVOLES DE BELLEY ET DE SA REGION;FRANCE;;Belley;1300;596 avenue de Sonod;;
W011001291;GROUPE ECOLE MODERNE DE L'AIN (GEM 01);FRANCE;;Bourg-en-Bresse;1000;408 ROUTE DE PARIS;;
